created_day,count_requests
5-Sep-18,169
6-Sep-18,134
7-Sep-18,106
8-Sep-18,68
9-Sep-18,68
10-Sep-18,122
11-Sep-18,142
12-Sep-18,138
13-Sep-18,111
14-Sep-18,100
15-Sep-18,60
16-Sep-18,58
17-Sep-18,131
18-Sep-18,132
19-Sep-18,122
20-Sep-18,132
21-Sep-18,131
22-Sep-18,51
23-Sep-18,65
24-Sep-18,159
25-Sep-18,156
26-Sep-18,153
27-Sep-18,136
28-Sep-18,104
29-Sep-18,81
30-Sep-18,61
1-Oct-18,135
2-Oct-18,176
3-Oct-18,187
4-Oct-18,174
5-Oct-18,153
6-Oct-18,90
7-Oct-18,82
8-Oct-18,198
9-Oct-18,191
10-Oct-18,166
11-Oct-18,196
12-Oct-18,142
13-Oct-18,72
14-Oct-18,95
15-Oct-18,177
16-Oct-18,167
17-Oct-18,148
18-Oct-18,121
19-Oct-18,122
20-Oct-18,65
21-Oct-18,83
22-Oct-18,209
23-Oct-18,161
24-Oct-18,177
25-Oct-18,158
26-Oct-18,133
27-Oct-18,73
28-Oct-18,81
29-Oct-18,208
30-Oct-18,179
31-Oct-18,144
1-Nov-18,134
2-Nov-18,108
3-Nov-18,84
4-Nov-18,87
5-Nov-18,176
6-Nov-18,195
7-Nov-18,161
8-Nov-18,137
9-Nov-18,99
10-Nov-18,69
11-Nov-18,63
12-Nov-18,128
13-Nov-18,147
14-Nov-18,127
15-Nov-18,143
16-Nov-18,97
17-Nov-18,100
18-Nov-18,48
19-Nov-18,142
20-Nov-18,148
21-Nov-18,95
22-Nov-18,37
23-Nov-18,75
24-Nov-18,64
25-Nov-18,86
26-Nov-18,160
27-Nov-18,161
28-Nov-18,205
29-Nov-18,122
30-Nov-18,116
1-Dec-18,77
2-Dec-18,63
3-Dec-18,125
4-Dec-18,112
5-Dec-18,109
6-Dec-18,119
7-Dec-18,134
8-Dec-18,90
9-Dec-18,81
10-Dec-18,171
11-Dec-18,214
12-Dec-18,151
13-Dec-18,217
14-Dec-18,147
15-Dec-18,79
16-Dec-18,83
17-Dec-18,224
18-Dec-18,184
19-Dec-18,131
20-Dec-18,103
21-Dec-18,102
22-Dec-18,70
23-Dec-18,65
24-Dec-18,70
